year,month,voivodeship,incidents
2018,01,dolnośląskie,3382
2018,02,dolnośląskie,3095
2018,03,dolnośląskie,3750
2018,04,dolnośląskie,3478
2018,05,dolnośląskie,3680
2018,06,dolnośląskie,3422
2018,07,dolnośląskie,3438
2018,08,dolnośląskie,3361
2018,09,dolnośląskie,3563
2018,10,dolnośląskie,3995
2018,11,dolnośląskie,3224
2018,12,dolnośląskie,3886
2018,01,kujawsko-pomorskie,2302
2018,02,kujawsko-pomorskie,1995
2018,03,kujawsko-pomorskie,2220
2018,04,kujawsko-pomorskie,2328
2018,05,kujawsko-pomorskie,2466
2018,06,kujawsko-pomorskie,2379
2018,07,kujawsko-pomorskie,2506
2018,08,kujawsko-pomorskie,2382
2018,09,kujawsko-pomorskie,2465
2018,10,kujawsko-pomorskie,2820
2018,11,kujawsko-pomorskie,2142
2018,12,kujawsko-pomorskie,2730
2018,01,lubelskie,1669
2018,02,lubelskie,1545
2018,03,lubelskie,1829
2018,04,lubelskie,1702
2018,05,lubelskie,1836
2018,06,lubelskie,1675
2018,07,lubelskie,1703
2018,08,lubelskie,1787
2018,09,lubelskie,1730
2018,10,lubelskie,2105
2018,11,lubelskie,1779
2018,12,lubelskie,1935
2018,01,lubuskie,1085
2018,02,lubuskie,827
2018,03,lubuskie,1114
2018,04,lubuskie,1065
2018,05,lubuskie,1097
2018,06,lubuskie,959
2018,07,lubuskie,1105
2018,08,lubuskie,1009
2018,09,lubuskie,1030
2018,10,lubuskie,966
2018,11,lubuskie,878
2018,12,lubuskie,1104
2018,01,mazowieckie,5539
2018,02,mazowieckie,5175
2018,03,mazowieckie,6056
2018,04,mazowieckie,5987
2018,05,mazowieckie,6260
2018,06,mazowieckie,6086
2018,07,mazowieckie,5833
2018,08,mazowieckie,5934
2018,09,mazowieckie,6287
2018,10,mazowieckie,7530
2018,11,mazowieckie,5603
2018,12,mazowieckie,6508
2018,01,małopolskie,2879
2018,02,małopolskie,2658
2018,03,małopolskie,2741
2018,04,małopolskie,2848
2018,05,małopolskie,2909
2018,06,małopolskie,2860
2018,07,małopolskie,2911
2018,08,małopolskie,2937
2018,09,małopolskie,2943
2018,10,małopolskie,3384
2018,11,małopolskie,2737
2018,12,małopolskie,3066
2018,01,opolskie,788
2018,02,opolskie,695
2018,03,opolskie,888
2018,04,opolskie,891
2018,05,opolskie,909
2018,06,opolskie,902
2018,07,opolskie,945
2018,08,opolskie,970
2018,09,opolskie,970
2018,10,opolskie,1114
2018,11,opolskie,786
2018,12,opolskie,1041
2018,01,podkarpackie,1622
2018,02,podkarpackie,1470
2018,03,podkarpackie,1640
2018,04,podkarpackie,1503
2018,05,podkarpackie,1715
2018,06,podkarpackie,1539
2018,07,podkarpackie,1634
2018,08,podkarpackie,1724
2018,09,podkarpackie,1771
2018,10,podkarpackie,1898
2018,11,podkarpackie,1672
2018,12,podkarpackie,1808
2018,01,podlaskie,1062
2018,02,podlaskie,921
2018,03,podlaskie,1161
2018,04,podlaskie,1140
2018,05,podlaskie,1141
2018,06,podlaskie,1193
2018,07,podlaskie,1237
2018,08,podlaskie,1262
2018,09,podlaskie,1225
2018,10,podlaskie,1402
2018,11,podlaskie,1052
2018,12,podlaskie,1383
2018,01,pomorskie,2294
2018,02,pomorskie,2198
2018,03,pomorskie,2182
2018,04,pomorskie,2196
2018,05,pomorskie,2573
2018,06,pomorskie,2469
2018,07,pomorskie,2804
2018,08,pomorskie,2651
2018,09,pomorskie,2380
2018,10,pomorskie,2830
2018,11,pomorskie,2166
2018,12,pomorskie,2642
2018,01,warmińsko-mazurskie,1387
2018,02,warmińsko-mazurskie,1182
2018,03,warmińsko-mazurskie,1338
2018,04,warmińsko-mazurskie,1297
2018,05,warmińsko-mazurskie,1588
2018,06,warmińsko-mazurskie,1465
2018,07,warmińsko-mazurskie,1596
2018,08,warmińsko-mazurskie,1613
2018,09,warmińsko-mazurskie,1454
2018,10,warmińsko-mazurskie,1592
2018,11,warmińsko-mazurskie,1304
2018,12,warmińsko-mazurskie,1602
2018,01,wielkopolskie,3267
2018,02,wielkopolskie,2648
2018,03,wielkopolskie,3226
2018,04,wielkopolskie,3278
2018,05,wielkopolskie,3446
2018,06,wielkopolskie,3226
2018,07,wielkopolskie,3243
2018,08,wielkopolskie,3083
2018,09,wielkopolskie,3390
2018,10,wielkopolskie,3824
2018,11,wielkopolskie,2874
2018,12,wielkopolskie,3602
2018,01,zachodniopomorskie,1566
2018,02,zachodniopomorskie,1509
2018,03,zachodniopomorskie,1731
2018,04,zachodniopomorskie,1660
2018,05,zachodniopomorskie,1785
2018,06,zachodniopomorskie,1691
2018,07,zachodniopomorskie,2058
2018,08,zachodniopomorskie,1937
2018,09,zachodniopomorskie,1734
2018,10,zachodniopomorskie,1975
2018,11,zachodniopomorskie,1588
2018,12,zachodniopomorskie,1867
2018,01,łódzkie,2607
2018,02,łódzkie,2211
2018,03,łódzkie,2711
2018,04,łódzkie,2574
2018,05,łódzkie,2721
2018,06,łódzkie,2720
2018,07,łódzkie,2570
2018,08,łódzkie,2554
2018,09,łódzkie,2631
2018,10,łódzkie,3155
2018,11,łódzkie,2507
2018,12,łódzkie,2792
2018,01,śląskie,4644
2018,02,śląskie,4185
2018,03,śląskie,4734
2018,04,śląskie,4617
2018,05,śląskie,4799
2018,06,śląskie,4484
2018,07,śląskie,4700
2018,08,śląskie,4550
2018,09,śląskie,5088
2018,10,śląskie,5827
2018,11,śląskie,4501
2018,12,śląskie,5638
2018,01,świętokrzyskie,1106
2018,02,świętokrzyskie,995
2018,03,świętokrzyskie,1169
2018,04,świętokrzyskie,1162
2018,05,świętokrzyskie,1201
2018,06,świętokrzyskie,1098
2018,07,świętokrzyskie,1219
2018,08,świętokrzyskie,1232
2018,09,świętokrzyskie,1170
2018,10,świętokrzyskie,1461
2018,11,świętokrzyskie,1118
2018,12,świętokrzyskie,1312
2019,01,dolnośląskie,3728
2019,02,dolnośląskie,3200
2019,03,dolnośląskie,3591
2019,04,dolnośląskie,3665
2019,05,dolnośląskie,3791
2019,06,dolnośląskie,3779
2019,07,dolnośląskie,3600
2019,08,dolnośląskie,3472
2019,09,dolnośląskie,3792
2019,10,dolnośląskie,4412
2019,11,dolnośląskie,3630
2019,12,dolnośląskie,3656
2019,01,kujawsko-pomorskie,2163
2019,02,kujawsko-pomorskie,2292
2019,03,kujawsko-pomorskie,2385
2019,04,kujawsko-pomorskie,2450
2019,05,kujawsko-pomorskie,2494
2019,06,kujawsko-pomorskie,2506
2019,07,kujawsko-pomorskie,2404
2019,08,kujawsko-pomorskie,2366
2019,09,kujawsko-pomorskie,2601
2019,10,kujawsko-pomorskie,2743
2019,11,kujawsko-pomorskie,2357
2019,12,kujawsko-pomorskie,2645
2019,01,lubelskie,1914
2019,02,lubelskie,1392
2019,03,lubelskie,1668
2019,04,lubelskie,1841
2019,05,lubelskie,1904
2019,06,lubelskie,1815
2019,07,lubelskie,1743
2019,08,lubelskie,1830
2019,09,lubelskie,1849
2019,10,lubelskie,1983
2019,11,lubelskie,1808
2019,12,lubelskie,1880
2019,01,lubuskie,1087
2019,02,lubuskie,930
2019,03,lubuskie,1050
2019,04,lubuskie,1058
2019,05,lubuskie,1035
2019,06,lubuskie,1045
2019,07,lubuskie,1018
2019,08,lubuskie,1031
2019,09,lubuskie,1107
2019,10,lubuskie,1239
2019,11,lubuskie,1044
2019,12,lubuskie,1087
2019,01,mazowieckie,5749
2019,02,mazowieckie,5384
2019,03,mazowieckie,6216
2019,04,mazowieckie,6451
2019,05,mazowieckie,6569
2019,06,mazowieckie,6276
2019,07,mazowieckie,5956
2019,08,mazowieckie,5635
2019,09,mazowieckie,6524
2019,10,mazowieckie,7079
2019,11,mazowieckie,5997
2019,12,mazowieckie,6524
2019,01,małopolskie,2977
2019,02,małopolskie,2614
2019,03,małopolskie,2867
2019,04,małopolskie,3208
2019,05,małopolskie,3229
2019,06,małopolskie,3041
2019,07,małopolskie,3083
2019,08,małopolskie,3178
2019,09,małopolskie,3142
2019,10,małopolskie,3521
2019,11,małopolskie,2848
2019,12,małopolskie,3289
2019,01,opolskie,964
2019,02,opolskie,837
2019,03,opolskie,849
2019,04,opolskie,1046
2019,05,opolskie,910
2019,06,opolskie,947
2019,07,opolskie,984
2019,08,opolskie,958
2019,09,opolskie,1041
2019,10,opolskie,1085
2019,11,opolskie,821
2019,12,opolskie,1013
2019,01,podkarpackie,1740
2019,02,podkarpackie,1334
2019,03,podkarpackie,1501
2019,04,podkarpackie,1664
2019,05,podkarpackie,1730
2019,06,podkarpackie,1676
2019,07,podkarpackie,1740
2019,08,podkarpackie,1793
2019,09,podkarpackie,1813
2019,10,podkarpackie,1951
2019,11,podkarpackie,1787
2019,12,podkarpackie,1783
2019,01,podlaskie,1244
2019,02,podlaskie,939
2019,03,podlaskie,1105
2019,04,podlaskie,1234
2019,05,podlaskie,1237
2019,06,podlaskie,1311
2019,07,podlaskie,1230
2019,08,podlaskie,1296
2019,09,podlaskie,1221
2019,10,podlaskie,1338
2019,11,podlaskie,1161
2019,12,podlaskie,1338
2019,01,pomorskie,2468
2019,02,pomorskie,2086
2019,03,pomorskie,2434
2019,04,pomorskie,2537
2019,05,pomorskie,2482
2019,06,pomorskie,2616
2019,07,pomorskie,2986
2019,08,pomorskie,2752
2019,09,pomorskie,2668
2019,10,pomorskie,2724
2019,11,pomorskie,2461
2019,12,pomorskie,2699
2019,01,warmińsko-mazurskie,1565
2019,02,warmińsko-mazurskie,1305
2019,03,warmińsko-mazurskie,1300
2019,04,warmińsko-mazurskie,1413
2019,05,warmińsko-mazurskie,1379
2019,06,warmińsko-mazurskie,1499
2019,07,warmińsko-mazurskie,1505
2019,08,warmińsko-mazurskie,1558
2019,09,warmińsko-mazurskie,1520
2019,10,warmińsko-mazurskie,1519
2019,11,warmińsko-mazurskie,1330
2019,12,warmińsko-mazurskie,1548
2019,01,wielkopolskie,3226
2019,02,wielkopolskie,2983
2019,03,wielkopolskie,3321
2019,04,wielkopolskie,3343
2019,05,wielkopolskie,3307
2019,06,wielkopolskie,3190
2019,07,wielkopolskie,3118
2019,08,wielkopolskie,3037
2019,09,wielkopolskie,3380
2019,10,wielkopolskie,3973
2019,11,wielkopolskie,3331
2019,12,wielkopolskie,3413
2019,01,zachodniopomorskie,1607
2019,02,zachodniopomorskie,1496
2019,03,zachodniopomorskie,1777
2019,04,zachodniopomorskie,1839
2019,05,zachodniopomorskie,1869
2019,06,zachodniopomorskie,1963
2019,07,zachodniopomorskie,2063
2019,08,zachodniopomorskie,2094
2019,09,zachodniopomorskie,1977
2019,10,zachodniopomorskie,2100
2019,11,zachodniopomorskie,1763
2019,12,zachodniopomorskie,1935
2019,01,łódzkie,2745
2019,02,łódzkie,2469
2019,03,łódzkie,2605
2019,04,łódzkie,2855
2019,05,łódzkie,2848
2019,06,łódzkie,2804
2019,07,łódzkie,2693
2019,08,łódzkie,2553
2019,09,łódzkie,2961
2019,10,łódzkie,3335
2019,11,łódzkie,2796
2019,12,łódzkie,2915
2019,01,śląskie,5320
2019,02,śląskie,4399
2019,03,śląskie,4941
2019,04,śląskie,5160
2019,05,śląskie,5203
2019,06,śląskie,4837
2019,07,śląskie,4864
2019,08,śląskie,4690
2019,09,śląskie,5320
2019,10,śląskie,5987
2019,11,śląskie,5010
2019,12,śląskie,5397
2019,01,świętokrzyskie,1134
2019,02,świętokrzyskie,963
2019,03,świętokrzyskie,1156
2019,04,świętokrzyskie,1242
2019,05,świętokrzyskie,1255
2019,06,świętokrzyskie,1240
2019,07,świętokrzyskie,1185
2019,08,świętokrzyskie,1285
2019,09,świętokrzyskie,1231
2019,10,świętokrzyskie,1386
2019,11,świętokrzyskie,1170
2019,12,świętokrzyskie,1271
2020,01,dolnośląskie,3429
2020,02,dolnośląskie,3258
2020,03,dolnośląskie,2523
2020,04,dolnośląskie,1904
2020,05,dolnośląskie,2658
2020,06,dolnośląskie,3155
2020,07,dolnośląskie,3379
2020,08,dolnośląskie,3443
2020,09,dolnośląskie,3751
2020,10,dolnośląskie,3496
2020,11,dolnośląskie,2782
2020,12,dolnośląskie,3568
2020,01,kujawsko-pomorskie,2247
2020,02,kujawsko-pomorskie,2093
2020,03,kujawsko-pomorskie,1659
2020,04,kujawsko-pomorskie,1277
2020,05,kujawsko-pomorskie,1795
2020,06,kujawsko-pomorskie,2217
2020,07,kujawsko-pomorskie,2211
2020,08,kujawsko-pomorskie,2416
2020,09,kujawsko-pomorskie,2479
2020,10,kujawsko-pomorskie,2255
2020,11,kujawsko-pomorskie,1868
2020,12,kujawsko-pomorskie,2344
2020,01,lubelskie,1531
2020,02,lubelskie,1556
2020,03,lubelskie,1135
2020,04,lubelskie,943
2020,05,lubelskie,1338
2020,06,lubelskie,1525
2020,07,lubelskie,1682
2020,08,lubelskie,1748
2020,09,lubelskie,1831
2020,10,lubelskie,1645
2020,11,lubelskie,1295
2020,12,lubelskie,1618
2020,01,lubuskie,960
2020,02,lubuskie,989
2020,03,lubuskie,778
2020,04,lubuskie,556
2020,05,lubuskie,784
2020,06,lubuskie,936
2020,07,lubuskie,1008
2020,08,lubuskie,1011
2020,09,lubuskie,1012
2020,10,lubuskie,995
2020,11,lubuskie,788
2020,12,lubuskie,1010
2020,01,mazowieckie,5787
2020,02,mazowieckie,5467
2020,03,mazowieckie,4304
2020,04,mazowieckie,3391
2020,05,mazowieckie,4648
2020,06,mazowieckie,5434
2020,07,mazowieckie,5605
2020,08,mazowieckie,5684
2020,09,mazowieckie,6197
2020,10,mazowieckie,5595
2020,11,mazowieckie,4393
2020,12,mazowieckie,5362
2020,01,małopolskie,2992
2020,02,małopolskie,2751
2020,03,małopolskie,1991
2020,04,małopolskie,1502
2020,05,małopolskie,2196
2020,06,małopolskie,2453
2020,07,małopolskie,2817
2020,08,małopolskie,2700
2020,09,małopolskie,2962
2020,10,małopolskie,2608
2020,11,małopolskie,2140
2020,12,małopolskie,2911
2020,01,opolskie,837
2020,02,opolskie,764
2020,03,opolskie,620
2020,04,opolskie,484
2020,05,opolskie,675
2020,06,opolskie,797
2020,07,opolskie,858
2020,08,opolskie,924
2020,09,opolskie,912
2020,10,opolskie,927
2020,11,opolskie,711
2020,12,opolskie,896
2020,01,podkarpackie,1491
2020,02,podkarpackie,1453
2020,03,podkarpackie,1127
2020,04,podkarpackie,910
2020,05,podkarpackie,1305
2020,06,podkarpackie,1463
2020,07,podkarpackie,1576
2020,08,podkarpackie,1723
2020,09,podkarpackie,1753
2020,10,podkarpackie,1549
2020,11,podkarpackie,1270
2020,12,podkarpackie,1631
